Model,Anchor Date,Use Case,Filtered FPs,Accuracy,AUC,Precision,Recall,Capture Rate (Recall @K =10%),Baseline Conversion Rate,Precision at K
logistic,2026-02-15,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.5913522679101314,0.6282150049381764,0.0424304141208418,0.6377551020408163,0.1581632653061224,0.0276953511374876,0.0438472418670438
logistic,2026-02-15,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.5913522679101314,0.6282150049381764,0.0424304141208418,0.6377551020408163,0.1581632653061224,0.0276953511374876,0.0438472418670438
logistic,2026-02-15,food,"Maadi FP #1, Maadi FP #2, Maadi FP #3, Maadi FP #4",0.5876783948000566,0.5958875329595072,0.0346467391304347,0.5730337078651685,0.1516853932584269,0.0251519005228204,0.0381895332390381
logistic,2026-02-15,food,"Al Rehab City FP #1, Al Rehab City FP #2",0.669466515323496,0.6728654340323684,0.0836120401337792,0.5924170616113744,0.2796208530805687,0.0479001135073779,0.1340909090909091
logistic,2026-03-01,food,"Al Rehab City FP #1, Al Rehab City FP #2",0.6803801674863751,0.6848011120774886,0.0128258171286719,0.6262626262626263,0.2626262626262626,0.0065798218795693,0.0172872340425531
logistic,2026-03-05,food,"Al Rehab City FP #1, Al Rehab City FP #2",0.6889098377213656,0.8396803206898875,0.0012975778546712,0.75,0.5,0.0005386842636859,0.0026936026936026
logistic,2026-02-25,food,"Al Rehab City FP #1, Al Rehab City FP #2",0.6583501910541695,0.7012365789327699,0.0357374918778427,0.6043956043956044,0.2967032967032967,0.0204540346145201,0.0608108108108108
logistic,2026-03-11,food,"Al Rehab City FP #1, Al Rehab City FP #2",0.6501873160289002,0.8676303285819447,0.0009552923194497,1.0,0.2,0.0003344929087503,0.000669344042838
logistic,2026-03-15,beauty,All,0.6439186546734454,0.6217728024570213,0.0424872355944566,0.5235955056179775,0.2112359550561797,0.0290053448051101,0.0612777053455019
logistic,2026-03-15,beauty,All,0.7398526347646929,0.7725009935689624,0.0260579113854049,0.6377910124526259,0.3952355170546833,0.0107497468251289,0.0424887957627611
logistic,2026-03-29,beauty,All,0.7961144608258818,0.8172763066916848,0.0140981458802084,0.6671159029649596,0.4932614555256064,0.0043393589211254,0.0214047605123106
logistic,2026-03-29,beauty,All,0.7961144608258818,0.8172763066916848,0.0140981458802084,0.6671159029649596,0.4932614555256064,0.0043393589211254,0.0214047605123106
logistic,2026-03-29,beauty,All,0.7957120926356419,0.8108070744533377,0.013902867573054,0.6634106634106635,0.4924704924704924,0.0043107153822536,0.0212291875010965
logistic,2026-03-28,beauty,All,0.7963128810808632,0.7784493732191071,0.0140333752879025,0.6059149722735675,0.4192236598890942,0.0047407817645522,0.0198745136527743
logistic,2026-03-01,beauty,All,0.750656339467088,0.791415798663927,0.0156179854925217,0.6758691206543967,0.4304703476482617,0.005809049763005,0.025007425007425
logistic,2026-03-28,beauty,All,0.7403891822545791,0.7716316661851239,0.012006550247647683,0.6613678373382624,0.40517560073937153,0.0047407817645522725,0.019208524659118792
